Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	2522.85674614	2437.12837815	54.4557362555	5593.70935657	-268.364879008	54.7769145997	-369.144556625	-175.811660394
1	1671.67071973	2325.73832486	-71.9846771094	5593.70935657	-221.178666255	82.1066561776	-369.144556625	-80.3595994867
2	1189.30409194	2180.66608833	-319.673163404	5593.70935657	-133.666649255	168.12585124	-369.144556625	187.80318099
3	890.678498236	2039.95691634	-379.707611374	5593.70935657	-68.6573931023	199.552296327	-369.144556625	281.53222265
4	677.375313985	1922.37438862	-441.632730499	5593.70935657	-16.2438263721	217.283846762	-369.144556625	303.221650157
5	520.401499689	1820.95184649	-486.162797279	5593.70935657	27.8588403143	228.626127558	-369.144556625	336.343004152
6	403.14235688	1731.42681361	-486.162797279	5593.70935657	59.2833098057	229.581284803	-369.144556625	336.343004152
7	309.289042972	1653.90186946	-513.936214554	5593.70935657	87.5074387047	230.885361818	-369.144556625	356.064258652
8	231.207974913	1586.51974467	-595.991089984	5593.70935657	112.654203922	231.993126809	-369.144556625	432.131106418
9	162.296637962	1528.34906431	-604.974869557	5593.70935657	138.18176668	235.578825984	-369.144556625	432.131106418
10	106.569484116	1475.00958099	-615.609985454	5593.70935657	157.160794817	234.447844958	-369.144556625	434.306015512
11	60.2672354508	1426.26951516	-615.609985454	5593.70935657	172.740422921	231.916814335	-369.144556625	434.306015512
12	15.933040168	1383.69460203	-615.609985454	5593.70935657	190.488280586	232.536567412	-369.144556625	439.454679792
13	-23.7730792233	1345.04695862	-656.343927461	5593.70935657	206.705661281	232.769803014	-369.144556625	469.287543572
14	-58.6440278982	1309.35672141	-656.343927461	5593.70935657	220.7760462	231.951374916	-369.144556625	469.287543572
